Testcase 1
rodqc rovyf 150
czjao ofxgg 113
sgsbu soupa 142
axzky ubdqn 132
jfvdd rornc 101
axokv svnkr 108
guypw tdkgs 122
dtmyb pzfts 116
ishul piuhr 136
moaxx start 101
jgsht ssglq 122
guwzx tcdqn 115
cylpb ovdmd 122
atlfr daypp 111
egdjs jfvdd 113
wagkb wkjtw 143
pvxms sbldk 103
fkyfv uiepm 126
iwxfg turqn 119
iiake pzfts 107
iiake ssglq 131
eqzgo obhhb 107
blvqc bplyi 132
igumy vmvut 111
anafo iiake 136
ieujy muplm 142
aupvy snyul 140
czjao igumy 118
ltbqh lufjt 140
nufvs pzfts 119
kqwgu rwrad 150
dxsml mhgcr 141
fkfhm svnkr 140
hpxzr kbrbl 103
ejrqd mupij 124
kboba vetyn 136
tjhem xqzes 101
auxca mupij 128
omqit zkpif 139
tcdqn zzeif 112
dncfi hpxzr 147
nufvs rornc 113
bohrq ofxjm 121
rovyf tdkgs 135
eppyv xgxgu 145
ieujy ukdtr 126
atywv lkiur 114
loptp qyisz 118
iwxfg xbnbu 129
flazd ymlmu 139
mrczr prxst 146
kosnq twxeg 117
atywv yfdng 143
pmmok yhguu 140
guwzx kdfze 108
gqtjp pkpaq 112
nufvs qpgjo 115
imcqg yfpev 136
gydqu yfpev 149
ixkpm zonsc 137
qyisz vmvut 124
brzpi zzeif 145
dbbfc qsqoh 115
sgsbu vzmze 107
dnobw zcdzu 132
soupa vmvut 116
aupvy jgsht 143
dbbfc eqhic 106
dnobw vsxcv 128
anafo rovyf 135
cvwop ttbil 110
guypw liuxk 133
cedbp lufjt 144
uqmzq wkjtw 130
axzky pxklr 113
efwri kosnq 128
cvwop eofdc 103
pnpmk wkjtw 132
jbvga zfjrn 137
pnpmk uiepm 103
buxrl ixkpm 111
ejrqd ukdtr 118
vzmze xbnbu 105
onrnb pzfts 104
iwxfg rodqc 103
meapa uiepm 121
eppyv vetyn 106
srinw ttbil 137
pmwre uqmzq 127
daypp uqmzq 134
eppyv ldmap 119
hyfom ukdtr 106
oijku uiewc 130
axokv dtmyb 108
nqjac wgruv 101
muplm vmvut 135
ltbqh xqzes 102
jfvdd zcdzu 115
ubdqn wkjtw 131
lbdqb ukdtr 127
ldmap ltbqh 126
vmvut zurcf 127
lzghh muplm 108
fgioe jfvdd 104
guwzx tliez 124
end tliez 108
eqzgo rornc 139
hyqrv obhhb 107
aqrnw daypp 112
egdjs rovyf 140
bohrq daypp 146
ishul kwmfn 117
iwxfg ovdmd 110
ckqvb ejrqd 131
rydkt ssglq 102
axokv efwri 146
daypp zkpif 116
dmkkg hvybs 145
rwrad wagkb 140
guwzx hlqma 138
buxrl pmwre 112
pzfts rjjkn 111
hlqma ipbun 105
igumy kcecp 110
atywv nqjac 140
aqrnw ipbun 100
ffdjt turqn 149
psvgy twxeg 135
guwzx tfchz 133
moaxx zonsc 150
ofxjm yzfzs 141
gydqu piuhr 103
jcafj tfchz 143
ctxoz fsxgr 129
lufjt pnpmk 129
nufvs wgruv 149
jcafj zkpif 106
jfvdd kwmfn 141
iiake yfpev 137
eqzgo fcixo 110
gkank jbvga 140
hvybs qyisz 141
fewdg zkpif 118
qpgjo rovyf 143
czjao mhgcr 126
fgioe ukkie 100
osylw rydkt 111
oijku omqit 119
cylpb zzeif 116
mhgcr tjhem 128
eofdc wabem 119
eqzgo ofxjm 139
ehkxe ltbqh 119
wgruv xbnbu 131
pmwre wabem 118
mekax ofxgg 149
lzghh vbjgt 146
lbdqb uuqtu 100
hpxzr ltbqh 100
lggea vetyn 136
ddadb ffdjt 131
hvybs obhhb 103
qlsgp ttbil 142
fgioe jmrwq 112
kwmfn ttbil 125
boevb ssglq 113
cedbp xhqfx 131
atlfr start 116
sgepe svnkr 145
fkfhm hjlgg 101
igzhc ubdqn 116
fsxgr hpxzr 150
tfchz yfpev 150
rjjkn soupa 148
lufjt snyul 145
cedbp rovyf 116
pmwre xtblz 139
auxca lggea 115
igzhc uiepm 147
dmkkg ukkie 125
kyvhf ldmap 122
gydqu liuxk 132
mekax skygc 118
osylw vetyn 147
hxfmy psvgy 129
aqrnw fkfhm 124
iesoi pnpmk 119
mrczr wkjtw 106
iiake wabem 113
hyqrv vmvut 104
pmwre ukkie 140
end xuobq 140
blvqc kqwgu 119
nqeok sgepe 135
psvgy snyul 112
nufvs wagkb 134
fmirp pxklr 119
ehkxe rovyf 150
efwri fkyfv 140
sgepe vsxcv 120
fkyfv qrrvv 116
prxst ukkie 102
jgsht nufvs 107
gkqni meapa 148
srinw wrmrq 116
nqjac qsqoh 117
ffdjt rvhlw 140
igumy uiepm 126
obhhb uqmzq 109
kwmfn sbldk 117
snyul zzeif 125
axokv liuxk 142
ejrqd zonsc 113
egdjs yfdng 112
end zvdkf 136
bohrq uiepm 137
aqrnw zzeif 133
hhurz ofxjm 103
prxst psvgy 119
guypw wgruv 124
ishul tjhem 134
lkiur tfchz 122
atlfr zurcf 110
ejrqd igumy 113
axokv ldmap 132
ipbun prxst 126
aqrnw yzfzs 146
hyfom mekax 148
dncfi ovdmd 125
ctxoz jgsht 113
kwmfn lzghh 139
buxrl zzeif 136
ofxjm rwrad 127
ltbqh pvxms 137
hvybs pxklr 131
cedbp jbvga 100
end rornc 143
jmrwq xtblz 122
fewdg vsxcv 105
cvwop ieujy 106
hvybs igzhc 100
atywv ieujy 115
iiake pmwre 114
dtmyb zvdkf 113
cylpb daypp 116
hjlgg qyisz 125
mrczr vbjgt 147
tliez turqn 134
igzhc zfjrn 118
anafo ejrqd 133
sbldk xjdox 116
dnobw oijku 147
rornc wabem 123
xgxgu ymlmu 149
eqzgo mupij 134
efwri mekax 131
dtmyb fcixo 124
pxklr rodqc 122
kbrbl ofxjm 113
aqrnw bnclk 105
daypp rjjkn 107
guwzx iesoi 147
cedbp qsqoh 118
auxca kdfze 116
gydqu vetyn 149
gydqu rovyf 101
guwzx igumy 148
ckqvb wdbol 109
gydqu sgsbu 106
axzky zvdkf 106
yfdng zurcf 146
aqrnw xhqfx 148
ixkpm zcdzu 127
pmwre xgxgu 130
pkpaq snyul 116
czjao mekax 126
kcecp mupij 140
fcixo kdfze 123
efwri pnpmk 143
axzky qlsgp 104
gydqu jmrwq 150
liuxk loptp 119
czjao ejrqd 133
eqhic jcafj 119
hxfmy ofxjm 136
aqrnw igumy 123
kqwgu ovdmd 100
rvhlw turqn 111
ixkpm soupa 101
czjao vzmze 115
liuxk uqmzq 109
end oijku 102
axzky yfpev 101
buxrl pnpmk 133
jgjsb zkpif 103
ipbun pkpaq 141
pxklr yzfzs 117
mhgcr pmwre 128
kboba ovdmd 107
kosnq muplm 134
hyfom sgsbu 117
nqeok svnkr 123
bohrq hvybs 111
bohrq flazd 137
dmkkg fmirp 150
hyfom ymlmu 136
fgioe tjhem 127
qrrvv sgepe 135
liuxk wagkb 109
kyvhf xqzes 112
moaxx ukdtr 126
fewdg osylw 124
kqwgu vzmze 106
eppyv wrmrq 123
kdfze ukkie 137
daypp jgsht 104
hdgsz obhhb 136
ixkpm uuqtu 113
cvwop yhguu 150
ldmap loptp 119
egdjs ltbqh 143
qrrvv ssglq 139
ejrqd eqzgo 123
obhhb start 109
fgioe gydqu 102
ddadb sbldk 109
bxnpj ofxgg 126
flazd uqjrb 126
ehkxe ipbun 135
adzuv yhguu 145
blvqc wkjtw 115
cylpb mekax 141
igumy ymlmu 125
flfsd qlsgp 135
hyqrv ukdtr 143
kbrbl wagkb 128
boevb eqhic 132
ctxoz lbdqb 111
ipbun lzghh 120
luilb xtblz 137
fcixo flfsd 119
qpgjo srinw 140
iesoi xbnbu 148
mhgcr rvhlw 125
eofdc jgsht 150
jmrwq tliez 135
igzhc wdbol 109
turqn wgruv 114
fcixo lkiur 131
czjao ubdqn 125
eqhic pkpaq 104
jgsht kqwgu 104
fkfhm hxfmy 122
aupvy yfpev 100
bxnpj psvgy 107
rvhlw uqmzq 128
ofxgg qyisz 103
ishul onrnb 121
igumy lggea 127
ishul jgjsb 100
svnkr uqmzq 149
kbrbl uiewc 110
adzuv uiepm 122
prbvw uiepm 115
osylw snyul 113
rodqc zfjrn 148
dnobw wabem 119
loptp vzmze 103
muplm qsqoh 108
efwri vbjgt 135
uuqtu ymlmu 123
kboba svnkr 121
axzky bnclk 132
loptp sgsbu 132
igumy oijku 135
xuobq zkpif 118
fgioe kyvhf 149
ipbun pxklr 149
egdjs osylw 118
atywv dmkkg 138
eofdc prxst 132
czjao rvhlw 120
pvxms snyul 101
axokv dncfi 149
qrrvv zcdzu 149
ckqvb jmrwq 134
tfchz xbnbu 115
fkfhm oijku 125
ttbil wagkb 122
efwri jcafj 127
atywv flfsd 125
adzuv wabem 127
lbdqb pmwre 114
sbldk sgepe 128
oijku vzmze 109
mrczr yfdng 111
ttbil zkpif 100
pnpmk soupa 130
hyfom srinw 134
flazd jgsht 112
qrrvv tjhem 127
rodqc ukkie 126
hvybs sbldk 143
lkiur udgib 115
ofxgg zfjrn 103
aupvy hvybs 145
aupvy auxca 147
hyqrv lufjt 141
kosnq tfchz 143
ckqvb xgxgu 138
dncfi gqtjp 127
bplyi nufvs 107
eofdc ymlmu 129
aupvy tliez 110
onrnb qdllj 115
auxca ckqvb 103
ieujy srinw 146
jfvdd rjjkn 114
dtmyb jfvdd 118
fewdg yzfzs 105
hpxzr vsxcv 149
ckqvb prxst 100
dxsml rwrad 127
brzpi nqeok 146
mhgcr rjjkn 146
dncfi sgsbu 138
ofxjm sgsbu 101
eppyv uqjrb 133
anafo ehkxe 133
efwri ofxgg 141
rornc vetyn 106
kyvhf uiepm 108
axzky vetyn 119
cylpb eppyv 128
tliez ymlmu 128
hvybs pkpaq 112
loptp pmwre 105
iesoi kosnq 146
eofdc iiake 102
efwri xqzes 100
uqjrb wagkb 110
efwri tcdqn 111
boevb xhqfx 136
kqwgu start 116
fsxgr hyfom 132
ofxjm rornc 145
ukkie uqjrb 127
atywv jgsht 105
ssglq vetyn 110
axzky lbdqb 139
prxst uuqtu 137
fkfhm yhguu 118
cedbp wabem 133
igumy jgjsb 145
boevb kwmfn 103
flazd iiake 147
adzuv xqzes 100
cylpb ubdqn 133
iwxfg yfpev 124
anafo sgepe 131
daypp hxfmy 145
hjlgg omqit 132
hxfmy pmmok 150
mekax wkjtw 113
lufjt mrczr 115
dbbfc hlqma 120
fgioe gkqni 102
ffdjt jgjsb 102
ddadb igumy 121
gqtjp pxklr 113
xgxgu xjdox 139
piuhr wdbol 104
end xgxgu 138
buxrl dmkkg 124
osylw pmmok 147
atlfr rornc 143
axzky onrnb 125
makqr wagkb 137
igumy iiake 121
boevb mekax 131
dbbfc osylw 109
ttbil uqjrb 112
wrmrq yfpev 149
rydkt zonsc 135
kosnq ofxgg 150
hhurz zonsc 129
uqjrb uqmzq 118
fkyfv qyisz 150
ltbqh xgxgu 107
ixkpm xhqfx 135
eppyv zonsc 100
omqit yfdng 123
fewdg uqmzq 135
jbvga mrczr 126
ckqvb xhqfx 103
omqit osylw 116
jgjsb meapa 150
rornc zkpif 114
gkank kdfze 150
ddadb wgruv 117
snyul yfdng 149
adzuv psvgy 138
wgruv zonsc 128
end gydqu 112
fcixo udgib 103
atlfr jgsht 105
bnclk eqhic 125
qdllj turqn 110
ixkpm rwrad 147
ofxgg zcdzu 140
fewdg fsxgr 127
atlfr jbvga 130
cedbp yzfzs 130
atlfr qyisz 100
kosnq pmmok 134
nqeok ukdtr 136
ofxgg xbnbu 104
bxnpj zfjrn 105
aqrnw guwzx 143
boevb qlsgp 104
rwrad zvdkf 125
axokv soupa 135
ldmap tdkgs 141
hyqrv srinw 127
hhurz lggea 122
imcqg mhgcr 136
hdgsz skygc 131
srinw vsxcv 136
eofdc prbvw 133
aqrnw omqit 130
gkank wkjtw 129
pnpmk prbvw 112
mhgcr obhhb 146
twxeg yhguu 114
jgsht uqjrb 140
egdjs eqhic 122
igumy rornc 119
pvxms sgepe 131
bohrq meapa 138
guwzx zfjrn 125
daypp xjdox 149
buxrl eofdc 116
fkfhm moaxx 142
eqhic mekax 116
dxsml ukkie 143
atlfr pkpaq 111
eppyv prxst 129
dxsml eppyv 148
dncfi ssglq 116
ftvqv wdbol 114
hlqma pvxms 114
ieujy mekax 108
ctxoz gqtjp 149
auxca xbnbu 110
cylpb guwzx 139
sgsbu srinw 142
atlfr pnpmk 148
jfvdd qsqoh 131
cvwop igzhc 129
rornc tfchz 150
ldmap pxklr 119
kcecp pkpaq 117
fewdg kbrbl 137
bxnpj qlsgp 116
axokv bxnpj 144
auxca ffdjt 111
hyfom uiewc 125
dbbfc tdkgs 139
ckqvb guypw 127
aupvy daypp 102
gydqu kdfze 115
dxsml kyvhf 120
daypp efwri 147
cylpb fewdg 124
bxnpj qrrvv 131
cvwop zzeif 145
bohrq eqhic 111
dncfi rwrad 131
mhgcr ymlmu 149
gqtjp xjdox 110
hdgsz tjhem 146
igumy kboba 137
